<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Presence,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Angola","-12.5","18.5","Present","-","Not recorded","Introduced","Not recorded","-","CABI (Undated a); CABI and EPPO (2008); EPPO (2020); Vayssieres et al. (2008)","-"
"Benin","9.5","2.25","Present","Widespread","Not recorded","Introduced","2004","Invasive","CABI (Undated a); CABI and EPPO (2008); De Villiers et al. (2015); Drew et al. (2005); EPPO (2020); Goergen et al. (2011); Khamis et al. (2009); Mele et al. (2007); Vayssières (2004); Vayssières et al. (2005); Vayssieres et al. (2009); Vayssières et al. (2011); White (2006)","-"
"Botswana","-22","24","Present","-","Not recorded","Introduced","Not recorded","-","CABI (Undated a); EPPO (2020)","-"
"Burkina Faso","12.5","-1.66667","Present","-","Not recorded","Introduced","Not recorded","-","CABI (Undated a); CABI and EPPO (2008); EPPO (2020); Leblanc et al. (2013a); Self et al. (2012); Tankoano et al. (2012); Vayssières et al. (2005)","-"
"Burundi","-3.5","30","Present","-","Not recorded","Introduced","Not recorded","-","CABI (Undated a); EPPO (2020); Liu LiJun et al. (2011)","-"
"Cabo Verde","16","-24","Present","-","Not recorded","Introduced","Not recorded","-","CABI (Undated a); Duarte (2013); EPPO (2020)","-"
"Cameroon","6","12.5","Present","-","Not recorded","Introduced","2004","Invasive","CABI (Undated a); CABI and EPPO (2008); Drew et al. (2005); EPPO (2020); Goergen et al. (2011); Vayssieres et al. (2008); White (2006)","-"
"Central African Republic","7","21","Present","-","Not recorded","Introduced","Not recorded","-","CABI (Undated a); CABI and EPPO (2008); EPPO (2020)","-"
"Chad","15","19","Present","-","Not recorded","Introduced","Not recorded","-","CABI (Undated a); CABI and EPPO (2008); EPPO (2020); Vayssieres et al. (2008)","-"
"Comoros","-12.23333","44.44553","Present","-","Not recorded","Introduced","2005","Invasive","CABI (Undated a); CABI and EPPO (2008); EPPO (2020); Meyer et al. (2012)","-"
"Congo, Democratic Republic of the","-2.5","23.5","Present","-","Not recorded","Introduced","Not recorded","-","CABI (Undated a); CABI and EPPO (2008); Ekesi and Billah (2006); EPPO (2020); Khamis et al. (2009)","-"
"Congo, Republic of the","-1","15.5","Present","-","Not recorded","Introduced","Not recorded","-","CABI (Undated a); CABI and EPPO (2008); EPPO (2020); Vayssieres et al. (2008)","-"
"Côte d'Ivoire","8","-5.5","Present","-","Not recorded","Introduced","2005","Invasive","CABI (Undated a); CABI and EPPO (2008); EPPO (2020); Hala et al. (2008); N'guessan et al. (2011); Vayssières et al. (2005)","-"
"Equatorial Guinea","1.7","10.5","Present","-","Not recorded","Introduced","Not recorded","Invasive","CABI (Undated a); CABI (Undated); CABI and EPPO (2008); EPPO (2020); Vayssieres et al. (2008)","-"
"Eritrea","15","39","Present","-","Not recorded","-","Not recorded","-","EPPO (2020); Hussain et al. (2015)","-"
"Eswatini","-26.5","31.5","Present","-","Not recorded","-","Not recorded","-","IPPC (2013); EPPO (2020)","B. invadens [B. dorsalis] has been detected in methyl eugenol baited fruit fly traps in the northern parts of Swaziland border with South Africa at Matsamo. Further detections have been in north eastern parts namely Mananga also along the border with South Africa and Lomahasha on the border with Mozambique. Isolated one-off cases recorded in central and eastern Swaziland. The central detections were from produce markets."
"Ethiopia","9","39.5","Present","-","Not recorded","Introduced","2005","Invasive","CABI (Undated a); Biasazin et al. (2014); CABI and EPPO (2008); Ekesi and Billah (2006); EPPO (2020); Fekadu Massebo and Zenebe Tefera (2015); White (2006)","-"
"Gabon","-1","11.75","Present","-","Not recorded","Introduced","Not recorded","-","CABI (Undated a); CABI and EPPO (2008); Ekesi and Billah (2006); EPPO (2020); Poligui et al. (2014); Vayssieres et al. (2008)","-"
"Gambia","13.5","-15.5","Present","-","Not recorded","Introduced","Not recorded","-","CABI (Undated a); CABI and EPPO (2008); EPPO (2020); Vayssieres et al. (2008)","-"
"Ghana","8.1","-1.2","Present","-","Not recorded","Introduced","2005","Invasive","CABI (Undated a); Abdullahi et al. (2011); CABI and EPPO (2008); De Villiers et al. (2015); Drew et al. (2005); Ekesi and Billah (2006); EPPO (2020); Khamis et al. (2009); Vayssières et al. (2004); White (2006)","-"
"Guinea","10.83333","-10.66667","Present","-","Not recorded","Introduced","Not recorded","Invasive","CABI (Undated a); CABI (Undated); CABI and EPPO (2008); EPPO (2020); Vayssières et al. (2005)","-"
"Guinea-Bissau","12","-15","Present","-","Not recorded","Introduced","Not recorded","-","CABI (Undated a); CABI and EPPO (2008); EPPO (2020); Ousmane et al. (2014); Vayssieres et al. (2008)","-"
"Kenya","1","38","Present","Widespread","Not recorded","Introduced","2003","Invasive","CABI (Undated a); Bo et al. (2014); CABI (Undated); CABI and EPPO (2008); De Villiers et al. (2015); Drew et al. (2005); Ekesi et al. (2006); Ekesi et al. (2011); EPPO (2020); Ihsan-ul-Haq et al. (2016); Khamis et al. (2009); Khamis et al. (2012); Mohamed et al. (2010); Rwomushana et al. (2008); White (2006)","-"
"Liberia","6.5","-9.5","Present","-","Not recorded","Introduced","Not recorded","-","CABI (Undated a); CABI and EPPO (2008); EPPO (2020); Vayssieres et al. (2008)","-"
"Madagascar","-20","47","Present","Localized","Not recorded","-","Not recorded","-","EPPO (2020)","-"
"Mali","18","-2","Present","-","Not recorded","Introduced","Not recorded","-","CABI (Undated a); CABI and EPPO (2008); Ekesi and Billah (2006); EPPO (2020); Vayssières et al. (2005)","-"
"Mauritania","20.25","-10.5","Present","-","Not recorded","Introduced","Not recorded","-","CABI (Undated a); CABI and EPPO (2008); EPPO (2020); Vayssieres et al. (2008)","-"
"Mayotte","-12.83333","45.16667","Present","-","Not recorded","Introduced","2007","Invasive","CABI (Undated a); EPPO (2020)","-"
"Mozambique","-18.25","35","Present","-","Not recorded","Introduced","Not recorded","Invasive","CABI (Undated a); CABI and EPPO (2008); EPPO (2020); IPPC (2008); José et al. (2013)","-"
"Namibia","-22","17","Present","-","Not recorded","Introduced","Not recorded","-","CABI (Undated a); EPPO (2020)","-"
"Niger","18","9","Present","-","Not recorded","Introduced","Not recorded","-","CABI (Undated a); CABI and EPPO (2008); EPPO (2020); Vayssieres et al. (2008); Zakari-Moussa et al. (2012)","-"
