Species,Longitude,Latitude,Range
b_dorsalis,-116.75,34.083,Invasive
b_dorsalis,73.083,33.583,Native
b_dorsalis,76.583,32.083,Native
b_dorsalis,112.083,32.083,Native
b_dorsalis,74.583,31.917,Native
b_dorsalis,121.25,31.583,Native
b_dorsalis,108.75,31.25,Native
b_dorsalis,77.083,30.917,Native
b_dorsalis,114.583,30.75,Native
b_dorsalis,79.417,29.583,Native
b_dorsalis,107.083,29.583,Native
b_dorsalis,79.417,29.083,Native
b_dorsalis,106.417,29.083,Native
b_dorsalis,107.25,29.083,Native
b_dorsalis,116.25,29.083,Native
b_dorsalis,109.583,28.75,Native
b_dorsalis,113.25,28.25,Native
b_dorsalis,129.25,28.25,Native
b_dorsalis,85.25,27.75,Native
b_dorsalis,85.417,27.583,Native
b_dorsalis,89.583,27.417,Native
b_dorsalis,109.583,27.417,Native
b_dorsalis,85.917,27.25,Native
b_dorsalis,84.917,27.083,Native
b_dorsalis,87.583,26.917,Native
b_dorsalis,89.417,26.917,Native
b_dorsalis,90.583,26.917,Native
b_dorsalis,102.25,26.917,Native
b_dorsalis,107.083,26.75,Native
b_dorsalis,106.75,26.583,Native
b_dorsalis,127.917,26.583,Native
b_dorsalis,128.083,26.583,Native
b_dorsalis,115.417,26.417,Native
b_dorsalis,127.75,26.417,Native
b_dorsalis,127.917,26.417,Native
b_dorsalis,119.417,26.25,Native
b_dorsalis,127.75,26.25,Native
b_dorsalis,106.75,26.083,Native
b_dorsalis,119.25,26.083,Native
b_dorsalis,127.75,26.083,Native
b_dorsalis,98.75,25.917,Native
b_dorsalis,108.417,25.917,Native
b_dorsalis,101.25,25.75,Native
b_dorsalis,103.75,25.583,Native
b_dorsalis,118.75,25.417,Native
b_dorsalis,119.083,25.417,Native
b_dorsalis,110.417,25.25,Native
b_dorsalis,102.583,25.083,Native
b_dorsalis,121.25,25.083,Native
b_dorsalis,121.417,25.083,Native
b_dorsalis,118.583,24.917,Native
b_dorsalis,121.083,24.917,Native
b_dorsalis,120.917,24.75,Native
b_dorsalis,121.083,24.75,Native
b_dorsalis,121.583,24.75,Native
b_dorsalis,125.25,24.75,Native
b_dorsalis,102.25,24.583,Native
b_dorsalis,102.583,24.417,Native
b_dorsalis,118.083,24.417,Native
b_dorsalis,123.75,24.417,Native
b_dorsalis,124.083,24.417,Native
b_dorsalis,97.25,24.25,Native
b_dorsalis,102.583,24.25,Native
b_dorsalis,103.417,24.25,Native
b_dorsalis,114.25,24.25,Native
b_dorsalis,97.75,24.083,Native
b_dorsalis,102.25,24.083,Native
b_dorsalis,102.417,24.083,Native
b_dorsalis,117.917,24.083,Native
b_dorsalis,120.583,24.083,Native
b_dorsalis,106.583,23.917,Native
b_dorsalis,120.583,23.917,Native
b_dorsalis,87.083,23.75,Native
b_dorsalis,101.917,23.583,Native
b_dorsalis,120.583,23.583,Native
b_dorsalis,103.083,23.417,Native
b_dorsalis,103.417,23.417,Native
b_dorsalis,104.25,23.417,Native
b_dorsalis,120.417,23.417,Native
b_dorsalis,108.75,23.25,Native
b_dorsalis,113.417,23.25,Native
b_dorsalis,112.417,23.083,Native
b_dorsalis,113.083,23.083,Native
b_dorsalis,113.25,23.083,Native
b_dorsalis,114.083,23.083,Native
b_dorsalis,104.417,22.917,Native
b_dorsalis,120.25,22.917,Native
b_dorsalis,88.25,22.75,Native
b_dorsalis,108.25,22.75,Native
b_dorsalis,120.417,22.75,Native
b_dorsalis,103.917,22.583,Native
b_dorsalis,108.25,22.583,Native
b_dorsalis,114.083,22.583,Native
b_dorsalis,120.25,22.583,Native
b_dorsalis,111.417,22.417,Native
b_dorsalis,-159.417,22.25,Invasive
b_dorsalis,105.417,22.25,Native
b_dorsalis,113.583,22.25,Native
b_dorsalis,-159.75,22.083,Invasive
b_dorsalis,106.75,22.083,Native
b_dorsalis,-159.583,21.917,Invasive
b_dorsalis,-159.417,21.917,Invasive
b_dorsalis,96.083,21.917,Native
